,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017,geometry
16848,JPN,Japan,Shimogo,WRI1000724,1000,37.3448,139.9087,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014524,,,,,,,,,,2900.91,2422.79,3356.29,2836.7,2422.79,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16852,JPN,Japan,Shin Nariwagawa,WRI1000717,303,34.821,133.4028,Hydro,,,,,Chugoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1012429,,,,,,,,,,592.18,477.11,1003.71,664.68,477.11,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16855,JPN,Japan,Shin Takasegawa,WRI1000694,1280,36.4739,137.6897,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031722,,,,,,,,,,4036.55,3430.87,5007.52,4838.3,3096.57,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16856,JPN,Japan,Shin Toyone,WRI1000723,1125,35.1258,137.7606,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014525,,,,,,,,,,3263.53,2725.64,3775.83,3191.29,2725.64,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16858,JPN,Japan,Shinanogawa,WRI1000703,177,37.055,138.6828,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031708,,,,,,,,,,705.26,465.85,695.88,579.09,431.95,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16864,JPN,Japan,Shiobara,WRI1000697,900,36.9937,139.8671,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031726,,,,,,,,,,2548.85,2130.42,2958.69,2490.89,2130.42,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16886,JPN,Japan,Tadami,WRI1020236,65,37.3354,139.3004,Hydro,,,,1989,,Dam Site,http://damsite.m78.com/data/fukusima/tadami.html,WRI,1014528,,,,,,,,,,201.21,183.64,270.87,182.75,181.42,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16888,JPN,Japan,Tagokura,WRI1000729,395,37.3113,139.2837,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,WRI,1014529,,,,,,,,,,985.45,832.16,1332.68,869.73,825.36,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16896,JPN,Japan,Takami,WRI1000692,200,42.4481,142.6236,Hydro,,,,,Hokkaido,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1018601,,,,,,,,,,483.18,384.33,664.73,470.07,384.33,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16907,JPN,Japan,Takisato,WRI1020228,57,43.4437,142.2883,Hydro,,,,1999,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1041988,,,,,,,,,,180.15,154.6,254.76,175.08,159.82,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16908,JPN,Japan,Tamahara,WRI1000695,1200,36.8014,139.0406,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031736,,,,,,,,,,3166.19,2138.35,4102.4,3177.59,2326.15,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16912,JPN,Japan,Tedorigawa Daiichi,WRI1000732,250,36.2683,136.6483,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014533,,,,,,,,,,637.42,424.05,864.82,521.8,440.81,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16916,JPN,Japan,Tenzan,WRI1000720,600,33.328,130.1066,Hydro,,,,,Kyushu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1021696,,,,,,,,,,1057.37,713.91,1707.61,922.5,713.91,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16919,JPN,Japan,Tokachi,WRI1020232,40,43.2407,142.9388,Hydro,,,,1985,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1018603,,,,,,,,,,107.51,71.64,138.92,113.06,75.85,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16936,JPN,Japan,Tomura,WRI1020230,40,43.4331,142.884,Hydro,,,,1978,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1018607,,,,,,,,,,110.19,86.53,145.97,107.6,86.53,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16964,JPN,Japan,Uryu,WRI1020229,51,35.3478,140.3739,Hydro,,,,1972,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1018611,,,,,,,,,,147.81,117.65,211.48,142.57,117.65,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16976,JPN,Japan,Yagisawa,WRI1000702,240,36.9114,139.0564,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031743,,,,,,,,,,565.93,447.32,773.58,550.16,447.32,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16977,JPN,Japan,Yahagi No.1,WRI1020026,61,35.2404,137.3913,Hydro,,,,,Chubu,Chubu Electric Power Company,http://www.chuden.co.jp/english/corporate/ecor_company/ecom_reference/eref_facilities/index.html?ceid=ul_me,WRI,1012359,,,,,,,,,,176.24,139.22,272.89,165.94,140.72,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16992,JPN,Japan,Yokoyama,WRI1020021,70,35.5954,136.4563,Hydro,,,,,Chubu,Chubu Electric Power Company,http://www.chuden.co.jp/english/corporate/ecor_company/ecom_reference/eref_facilities/index.html?ceid=ul_me,WRI,1012363,,,,,,,,,,216.69,197.76,292.34,203.75,201.59,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
